no,SrNo,PDF_name,Type,Compostion,Class,composition_final,Element,Fraction,Frac,Temperature_in_plot,Pressure_plot,Pressure unit,unit,Temperature(oC)_graph,Temperature,Temperature_1,Ln(P)_Mpa,Ln(P)_bar,Pressure(MPa),AN,Period,AR,CR,VWR,EN,Density,EA,MP,BP,VEC,FIE,TC,BM,HF,MV,Mass,SH,M-M_Eng,M-M_Bond,M-H_Bond,M-H_Eng,formation_H,en_at_H,formation_M,en_at_M,vol_H,vol_M,vol_diff,EN.Diff,M-H.EN.Diff,Atomic.Size.Diff,dSmix
240,412,111,PCI,LaNi4.8Al0.2,TM+Ln,Al0.03La0.17Ni0.8,La Ni  Al  ,0.17 0.8 0.03,0.17 0.8 0.03,2.6753,11.2684,P(bar),1000/T,100.79,374,374,0.1194,2.422,1.13,32.48,4.31,1.3625,129.07,208.8,1.7633,8.2545,1.0208,1611.275,3121.49,8.6,7.2403,82.06,151.04,15.152,9.4137,71.3761,416.27,-4.1736,2.2011,1.572,-4.7157,-0.2257,-4.6668,0,-5.5763,24.4433,34.4354,-0.2385,0.3045,-0.4367,17.35,4.8635
241,415,111,PCI,LaNi4.8Al0.2,TM+Ln,Al0.03La0.17Ni0.8,La Ni  Al  ,0.17 0.8 0.03,0.17 0.8 0.03,2.8285,6.557,P(bar),1000/T,80.55,354,354,-0.4221,1.8805,0.66,32.48,4.31,1.3625,129.07,208.8,1.7633,8.2545,1.0208,1611.275,3121.49,8.6,7.2403,82.06,151.04,15.152,9.4137,71.3761,416.27,-4.1736,2.2011,1.572,-4.7157,-0.2257,-4.6668,0,-5.5763,24.4433,34.4354,-0.2385,0.3045,-0.4367,17.35,4.8635
242,419,111,PCI,LaNi4.8Al0.2,TM+Ln,Al0.03La0.17Ni0.8,La Ni  Al  ,0.17 0.8 0.03,0.17 0.8 0.03,2.9989,3.2361,P(bar),1000/T,60.45,333,333,-1.1282,1.1744,0.32,32.48,4.31,1.3625,129.07,208.8,1.7633,8.2545,1.0208,1611.275,3121.49,8.6,7.2403,82.06,151.04,15.152,9.4137,71.3761,416.27,-4.1736,2.2011,1.572,-4.7157,-0.2257,-4.6668,0,-5.5763,24.4433,34.4354,-0.2385,0.3045,-0.4367,17.35,4.8635
243,427,111,PCI,LaNi4.8Al0.2,TM+Ln,Al0.03La0.17Ni0.8,La Ni  Al  ,0.17 0.8 0.03,0.17 0.8 0.03,3.1924,1.2684,P(bar),1000/T,40.25,313,313,-2.0648,0.2378,0.13,32.48,4.31,1.3625,129.07,208.8,1.7633,8.2545,1.0208,1611.275,3121.49,8.6,7.2403,82.06,151.04,15.152,9.4137,71.3761,416.27,-4.1736,2.2011,1.572,-4.7157,-0.2257,-4.6668,0,-5.5763,24.4433,34.4354,-0.2385,0.3045,-0.4367,17.35,4.8635
244,416,111,PCI,LaNi4.6Al0.4,TM+Ln,Al0.07La0.17Ni0.77,La Ni  Al  ,0.17 0.77 0.07,0.17 0.77 0.07,2.6757,5.8904,P(bar),1000/T,100.74,374,374,-0.5293,1.7733,0.59,31.8416,4.2673,1.3685,128.8713,209.1089,1.7529,8.015,0.9933,1581.0248,3109.8416,8.3366,7.1789,87.8515,147.2079,14.9149,9.5204,69.9947,434.7327,-4.0776,2.2363,1.5796,-4.7022,-0.225,-4.6237,0,-5.4979,32.8202,34.4351,-0.2041,0.3048,-0.4516,17.23,5.7256
245,421,111,PCI,LaNi4.6Al0.4,TM+Ln,Al0.07La0.17Ni0.77,La Ni  Al  ,0.17 0.77 0.07,0.17 0.77 0.07,2.8276,2.732,P(bar),1000/T,80.66,354,354,-1.2976,1.005,0.27,31.8416,4.2673,1.3685,128.8713,209.1089,1.7529,8.015,0.9933,1581.0248,3109.8416,8.3366,7.1789,87.8515,147.2079,14.9149,9.5204,69.9947,434.7327,-4.0776,2.2363,1.5796,-4.7022,-0.225,-4.6237,0,-5.4979,32.8202,34.4351,-0.2041,0.3048,-0.4516,17.23,5.7256
246,426,111,PCI,LaNi4.6Al0.4,TM+Ln,Al0.07La0.17Ni0.77,La Ni  Al  ,0.17 0.77 0.07,0.17 0.77 0.07,2.9994,1.3925,P(bar),1000/T,60.4,333,333,-1.9715,0.3311,0.14,31.8416,4.2673,1.3685,128.8713,209.1089,1.7529,8.015,0.9933,1581.0248,3109.8416,8.3366,7.1789,87.8515,147.2079,14.9149,9.5204,69.9947,434.7327,-4.0776,2.2363,1.5796,-4.7022,-0.225,-4.6237,0,-5.4979,32.8202,34.4351,-0.2041,0.3048,-0.4516,17.23,5.7256
247,432,111,PCI,LaNi4.6Al0.4,TM+Ln,Al0.07La0.17Ni0.77,La Ni  Al  ,0.17 0.77 0.07,0.17 0.77 0.07,3.1914,0.6017,P(bar),1000/T,40.34,313,313,-2.8106,-0.508,0.06,31.8416,4.2673,1.3685,128.8713,209.1089,1.7529,8.015,0.9933,1581.0248,3109.8416,8.3366,7.1789,87.8515,147.2079,14.9149,9.5204,69.9947,434.7327,-4.0776,2.2363,1.5796,-4.7022,-0.225,-4.6237,0,-5.4979,32.8202,34.4351,-0.2041,0.3048,-0.4516,17.23,5.7256
248,423,111,PCI,LaNi4.5Al0.5,TM+Ln,Al0.08La0.17Ni0.75,La Ni  Al  ,0.17 0.75 0.08,0.17 0.75 0.08,2.6764,2.0198,P(bar),1000/T,100.64,374,374,-1.5996,0.703,0.2,31.73,4.26,1.3715,128.92,209.3,1.7483,7.944,0.9843,1571.65,3108.24,8.25,7.1578,89.26,145.84,14.827,9.5837,69.7906,439.22,-4.0516,2.2471,1.583,-4.6982,-0.2262,-4.6118,0,-5.4748,35.1693,34.7344,-0.2,0.3043,-0.4517,17.15,5.9786
249,429,111,PCI,LaNi4.5Al0.5,TM+Ln,Al0.08La0.17Ni0.75,La Ni  Al  ,0.17 0.75 0.08,0.17 0.75 0.08,2.8282,1.0159,P(bar),1000/T,80.58,354,354,-2.2868,0.0158,0.1,31.73,4.26,1.3715,128.92,209.3,1.7483,7.944,0.9843,1571.65,3108.24,8.25,7.1578,89.26,145.84,14.827,9.5837,69.7906,439.22,-4.0516,2.2471,1.583,-4.6982,-0.2262,-4.6118,0,-5.4748,35.1693,34.7344,-0.2,0.3043,-0.4517,17.15,5.9786
